T2M_MIN,T2M_MAX,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,date,field_id
-2.63,2.54,0.14,0.0,6.99,86.9,2023-01-01,FLD_0000
-1.85,2.26,0.05,11.91,5.41,87.26,2023-01-02,FLD_0000
-2.47,3.31,0.59,6.39,3.76,95.24,2023-01-03,FLD_0000
-4.78,-1.48,-3.46,2.48,2.88,88.08,2023-01-04,FLD_0000
-11.2,-1.53,-5.36,0.52,3.43,90.34,2023-01-05,FLD_0000
-13.06,-3.35,-9.43,0.05,6.36,94.31,2023-01-06,FLD_0000
-18.41,-5.67,-12.47,0.19,8.95,88.96,2023-01-07,FLD_0000
-12.0,-1.67,-7.9,0.1,6.3,90.02,2023-01-08,FLD_0000
-8.51,3.28,-2.48,0.0,7.39,95.89,2023-01-09,FLD_0000
-6.58,1.16,-2.6,0.11,7.07,91.12,2023-01-10,FLD_0000
-3.12,2.53,-0.81,0.01,7.69,93.76,2023-01-11,FLD_0000
-7.22,-1.6,-4.17,0.0,3.53,85.07,2023-01-12,FLD_0000
-10.62,-3.58,-7.46,0.07,4.07,85.87,2023-01-13,FLD_0000
-11.17,2.07,-4.14,0.04,7.26,86.23,2023-01-14,FLD_0000
-1.69,5.53,1.58,0.2,7.79,88.03,2023-01-15,FLD_0000
0.35,12.17,4.97,5.45,4.24,94.62,2023-01-16,FLD_0000
-2.66,3.44,-0.06,0.02,2.23,89.12,2023-01-17,FLD_0000
-3.23,2.32,-0.63,15.95,2.92,86.72,2023-01-18,FLD_0000
-4.27,-0.63,-2.37,2.16,3.21,92.09,2023-01-19,FLD_0000
-8.38,-1.59,-5.36,0.04,3.95,91.34,2023-01-20,FLD_0000
-6.59,-0.6,-3.33,1.29,1.67,93.14,2023-01-21,FLD_0000
-9.41,-2.58,-5.61,0.41,2.81,94.91,2023-01-22,FLD_0000
-10.35,0.34,-5.56,0.02,10.13,94.69,2023-01-23,FLD_0000
-5.98,1.52,-2.79,0.03,9.92,89.36,2023-01-24,FLD_0000
-10.93,-1.11,-4.23,0.99,5.39,89.84,2023-01-25,FLD_0000
-13.96,-6.12,-11.18,0.08,11.09,82.76,2023-01-26,FLD_0000
-9.74,1.29,-4.63,0.39,9.88,87.68,2023-01-27,FLD_0000
-13.02,-7.71,-9.57,7.54,3.91,89.63,2023-01-28,FLD_0000
-19.18,-12.47,-15.31,0.17,10.76,84.77,2023-01-29,FLD_0000
-19.73,-12.39,-16.04,0.03,12.07,82.16,2023-01-30,FLD_0000
-22.41,-7.64,-15.87,0.0,12.66,86.67,2023-01-31,FLD_0000
-18.32,-0.47,-10.19,0.01,12.37,86.11,2023-02-01,FLD_0000
-21.98,-4.31,-11.58,0.11,12.44,86.83,2023-02-02,FLD_0000
-25.06,-11.96,-18.01,0.0,10.82,77.5,2023-02-03,FLD_0000
-12.05,3.73,-3.75,0.0,10.41,88.91,2023-02-04,FLD_0000
-5.39,2.77,-2.38,0.0,12.54,93.74,2023-02-05,FLD_0000
-5.04,8.72,1.55,0.07,10.53,91.14,2023-02-06,FLD_0000
-2.29,5.02,0.44,0.0,12.68,77.9,2023-02-07,FLD_0000
-2.5,8.22,1.1,0.11,11.24,75.26,2023-02-08,FLD_0000
-3.87,2.44,0.26,3.4,6.35,83.69,2023-02-09,FLD_0000
-8.71,1.95,-3.53,0.0,13.6,61.81,2023-02-10,FLD_0000
-5.91,7.33,-0.4,0.12,13.37,64.77,2023-02-11,FLD_0000
-3.2,9.28,1.02,0.0,12.4,77.51,2023-02-12,FLD_0000
-3.09,10.07,2.11,0.19,13.78,79.87,2023-02-13,FLD_0000
-0.14,9.38,4.36,10.61,2.68,91.41,2023-02-14,FLD_0000
-5.0,2.67,-0.71,0.19,9.99,74.47,2023-02-15,FLD_0000
-9.37,-1.38,-4.35,4.62,3.2,71.89,2023-02-16,FLD_0000
-11.91,0.24,-6.13,0.0,13.57,72.21,2023-02-17,FLD_0000
-7.0,5.9,-0.28,0.02,11.54,80.91,2023-02-18,FLD_0000
-2.25,8.01,1.3,0.0,13.65,80.24,2023-02-19,FLD_0000
-3.95,8.96,1.34,0.0,12.87,79.73,2023-02-20,FLD_0000
-8.06,0.46,-3.61,0.01,8.01,62.74,2023-02-21,FLD_0000
-3.36,-0.5,-1.85,5.23,3.56,85.3,2023-02-22,FLD_0000
-14.93,-3.24,-6.97,0.1,9.84,74.07,2023-02-23,FLD_0000
-15.09,-4.95,-9.99,0.01,9.02,78.27,2023-02-24,FLD_0000
-13.05,3.85,-4.36,0.15,15.41,78.77,2023-02-25,FLD_0000
-6.2,10.09,1.59,2.39,14.33,81.62,2023-02-26,FLD_0000
-2.09,9.81,4.57,24.1,6.11,91.25,2023-02-27,FLD_0000
-3.21,5.71,1.01,0.07,9.15,83.58,2023-02-28,FLD_0000
-3.02,11.66,2.5,0.0,15.07,75.53,2023-03-01,FLD_0000
-4.16,3.58,-1.03,0.0,8.07,78.48,2023-03-02,FLD_0000
-1.68,7.36,1.67,0.0,14.12,74.14,2023-03-03,FLD_0000
-2.63,9.65,2.29,0.01,9.52,74.17,2023-03-04,FLD_0000
-3.09,10.39,3.41,1.71,9.04,78.54,2023-03-05,FLD_0000
-2.36,9.11,2.98,0.0,5.33,81.99,2023-03-06,FLD_0000
-2.54,7.42,2.08,0.01,12.32,75.17,2023-03-07,FLD_0000
-0.79,5.65,2.0,0.74,5.13,74.16,2023-03-08,FLD_0000
-2.5,2.28,0.05,7.17,3.78,88.88,2023-03-09,FLD_0000
-3.67,3.82,-0.64,0.17,5.43,82.15,2023-03-10,FLD_0000
-3.72,2.52,-0.92,7.12,3.77,91.91,2023-03-11,FLD_0000
-3.8,0.44,-1.84,0.17,5.32,80.47,2023-03-12,FLD_0000
-5.7,0.59,-3.08,0.03,7.28,77.66,2023-03-13,FLD_0000
-6.3,3.07,-1.97,0.0,19.03,76.16,2023-03-14,FLD_0000
-1.98,10.72,4.44,0.0,15.82,77.39,2023-03-15,FLD_0000
-5.17,8.03,3.7,6.75,11.07,85.18,2023-03-16,FLD_0000
-10.66,1.43,-4.61,0.07,16.29,57.81,2023-03-17,FLD_0000
-11.09,-3.09,-7.73,0.16,17.25,61.6,2023-03-18,FLD_0000
-12.11,5.34,-3.38,0.0,21.65,63.39,2023-03-19,FLD_0000
-2.43,11.04,3.64,0.0,18.95,63.58,2023-03-20,FLD_0000
0.93,12.82,6.34,0.02,16.78,79.24,2023-03-21,FLD_0000
0.96,11.97,5.81,0.06,10.82,80.74,2023-03-22,FLD_0000
-2.66,7.63,1.79,2.07,10.78,74.45,2023-03-23,FLD_0000
-4.55,11.19,2.89,0.03,18.81,71.09,2023-03-24,FLD_0000
-1.4,12.12,4.12,0.37,19.15,71.93,2023-03-25,FLD_0000
-2.89,6.59,1.14,2.21,6.23,75.39,2023-03-26,FLD_0000
-4.89,9.59,1.72,0.01,21.25,68.33,2023-03-27,FLD_0000
-3.82,7.95,1.44,0.0,21.52,63.98,2023-03-28,FLD_0000
-4.66,4.6,-0.72,0.0,22.74,57.21,2023-03-29,FLD_0000
-2.92,17.57,8.08,0.98,10.75,71.39,2023-03-30,FLD_0000
1.91,23.71,13.55,5.22,10.67,78.62,2023-03-31,FLD_0000
-0.45,10.36,4.02,0.36,21.72,59.26,2023-04-01,FLD_0000
-0.54,20.0,8.25,0.0,17.84,63.14,2023-04-02,FLD_0000
1.15,14.13,7.38,0.01,7.96,68.51,2023-04-03,FLD_0000
4.11,25.36,13.0,3.55,4.07,85.63,2023-04-04,FLD_0000
-3.12,7.41,3.48,7.18,13.94,64.18,2023-04-05,FLD_0000
-5.3,11.4,2.86,0.0,25.38,56.19,2023-04-06,FLD_0000
-1.93,17.51,8.09,0.0,23.03,60.31,2023-04-07,FLD_0000
2.37,19.65,10.66,0.0,23.49,57.68,2023-04-08,FLD_0000
4.56,20.83,12.36,0.0,19.33,60.85,2023-04-09,FLD_0000
7.2,21.41,14.08,0.01,21.47,73.0,2023-04-10,FLD_0000
8.44,24.69,16.46,0.0,22.76,74.24,2023-04-11,FLD_0000
12.05,26.64,18.62,0.0,24.66,66.73,2023-04-12,FLD_0000
10.57,25.94,18.08,0.01,25.21,66.85,2023-04-13,FLD_0000
11.52,25.04,18.25,0.12,21.16,69.34,2023-04-14,FLD_0000
3.6,15.99,10.23,5.36,14.64,83.64,2023-04-15,FLD_0000
0.6,3.45,2.16,2.11,8.84,73.89,2023-04-16,FLD_0000
-0.12,14.23,6.12,0.0,26.46,52.53,2023-04-17,FLD_0000
-1.03,16.14,8.24,0.32,24.73,60.24,2023-04-18,FLD_0000
8.47,23.77,16.0,8.24,9.56,80.08,2023-04-19,FLD_0000
4.17,17.18,12.8,15.58,8.82,78.44,2023-04-20,FLD_0000
1.49,9.45,4.88,0.09,16.24,62.39,2023-04-21,FLD_0000
-1.11,6.98,2.55,0.02,10.09,65.64,2023-04-22,FLD_0000
-3.17,10.03,3.76,0.0,18.72,60.0,2023-04-23,FLD_0000
-1.96,14.77,7.41,0.24,20.79,60.73,2023-04-24,FLD_0000
0.85,14.11,7.12,0.12,26.34,68.29,2023-04-25,FLD_0000
0.59,15.96,8.37,0.0,26.66,66.44,2023-04-26,FLD_0000
3.04,20.93,12.57,0.01,23.42,62.21,2023-04-27,FLD_0000
8.63,20.51,13.78,0.22,18.0,72.56,2023-04-28,FLD_0000
3.15,14.5,8.34,1.58,17.11,69.96,2023-04-29,FLD_0000
3.23,12.29,7.89,0.75,13.31,61.52,2023-04-30,FLD_0000
2.27,14.94,8.45,0.0,28.23,55.4,2023-05-01,FLD_0000
2.05,16.66,8.94,0.0,29.22,51.39,2023-05-02,FLD_0000
1.31,20.05,11.47,0.0,27.54,55.22,2023-05-03,FLD_0000
5.34,25.0,15.61,0.0,27.93,54.56,2023-05-04,FLD_0000
8.12,21.08,15.5,14.75,16.28,84.64,2023-05-05,FLD_0000
